task_type,has_bug_fixing,has_code_refactoring,loc,files_touched,author,committer,authored_at,commited_at,commit_time_in_day,author_experience,committer_experience,code_quality,contribution_complexity,communication,total_nloc,avg_nloc,avg_ccn,avg_token,fun_cnt,warning_cnt,fun_rate,nloc_rate,duration
8,0,0,1064635,2233,22,22,2016-11-08 04:49:49,2016-11-08 04:49:49,1,0,0,1.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,0,1,1,22,22,2016-11-09 03:57:13,2016-11-09 03:57:13,1,0,0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,0,1,1,22,22,2016-11-09 11:51:58,2016-11-09 11:51:58,2,0,0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,0,3797,55,22,22,2016-12-31 17:08:39,2016-12-31 17:08:39,3,0,0,1.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,0,11,1,22,22,2016-12-31 17:30:17,2016-12-31 17:30:17,3,0,0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0,4,1,22,22,2016-12-31 17:31:31,2016-12-31 17:31:31,3,0,0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,0,0,1,22,22,2016-12-31 17:32:38,2016-12-31 17:32:38,3,0,0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,0,5,1,22,22,2017-01-06 01:35:45,2017-01-06 01:35:45,1,1,1,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,0,6,1,22,22,2017-01-06 01:42:08,2017-01-06 01:42:08,1,1,1,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0,0,32897,57,22,22,2017-01-15 01:17:28,2017-01-15 01:17:28,1,1,1,1.0,2.0,0,-4142.0,-7.4,1.4999999999999996,9.399999999999999,276.0,19.0,0.03,-0.009999999999999995,0.0
7,0,0,5190,14,22,22,2017-01-15 13:59:38,2017-01-15 13:59:38,3,1,1,1.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,1,365,26,22,22,2017-03-18 14:41:14,2017-03-18 14:41:14,3,1,1,1.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,0,4639,40,22,22,2017-04-18 00:08:57,2017-04-18 00:10:56,1,1,1,1.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0330555555555555
1,0,0,14,1,22,22,2017-04-18 01:36:49,2017-04-18 01:36:49,1,1,1,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,0,2,1,22,22,2017-04-18 01:37:24,2017-04-18 01:37:24,1,1,1,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,0,2,1,22,22,2017-04-18 01:54:06,2017-04-18 01:54:06,1,1,1,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,0,2,1,22,22,2017-04-18 02:26:40,2017-04-18 02:26:40,1,1,1,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,0,38,2,22,22,2017-06-16 23:57:22,2017-06-16 23:57:22,4,1,1,1.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0,0,10,1,22,22,2017-06-17 00:03:21,2017-06-17 00:03:21,1,1,1,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,1,60,4,22,22,2017-06-17 12:10:45,2017-06-17 12:10:45,3,1,1,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,0,60,4,22,22,2017-06-17 12:11:27,2017-06-17 12:11:27,3,1,1,1.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,0,5,2,22,22,2017-06-17 12:12:28,2017-06-17 12:12:28,3,1,1,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,0,4,2,22,22,2017-06-17 12:18:58,2017-06-17 12:18:58,3,1,1,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,0,6,1,22,22,2017-06-17 20:54:37,2017-06-17 20:54:37,4,1,1,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0,0,31,3,22,22,2017-06-17 21:12:24,2017-06-17 21:12:24,4,1,1,1.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0,7,1,22,22,2017-06-17 22:05:18,2017-06-17 22:05:18,4,1,1,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0,4456,22,22,22,2017-06-24 11:32:00,2017-06-24 11:32:00,2,1,1,1.0,3.0,0,51.0,0.0,0.0,-0.29999999999999716,3.0,0.0,0.0,0.0,0.0
8,0,0,2,1,22,22,2017-06-24 12:44:45,2017-06-24 12:44:45,3,1,1,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,0,2,1,22,22,2017-06-24 12:47:46,2017-06-24 12:47:46,3,1,1,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,0,298,4,22,22,2017-06-24 13:04:06,2017-06-24 13:04:06,3,1,1,1.0,2.0,0,123.0,0.19999999999999996,0.10000000000000053,0.8999999999999915,7.0,1.0,0.0,0.11,0.0
8,0,0,1129,5,22,22,2017-06-24 14:14:02,2017-06-24 14:14:02,3,1,1,1.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0,59,7,22,22,2017-06-24 14:26:01,2017-06-24 14:26:01,3,1,1,1.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0,1,11,1,22,22,2017-06-24 14:29:55,2017-06-24 14:29:55,3,1,1,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,0,26,3,22,22,2017-06-24 14:46:41,2017-06-24 14:46:41,3,1,1,0.9705882352941176,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,0,19,1,22,22,2017-07-08 23:36:39,2017-07-08 23:40:07,4,1,1,0.9714285714285714,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0577777777777777
8,0,0,6,1,22,22,2017-07-08 23:43:09,2017-07-08 23:43:09,4,1,1,0.9722222222222222,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0,485,2,22,22,2017-07-08 23:56:44,2017-07-08 23:56:44,4,1,1,0.972972972972973,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0,0,237,3,22,22,2017-07-13 01:02:35,2017-07-13 01:02:35,1,1,1,0.9736842105263158,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,0,2,1,22,22,2017-07-13 01:10:10,2017-07-13 01:10:10,1,1,1,0.9487179487179488,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,0,1,1,22,22,2017-07-13 01:25:25,2017-07-13 01:25:25,1,1,1,0.95,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,0,1,1,22,22,2017-07-13 01:29:20,2017-07-13 01:29:20,1,1,1,0.951219512195122,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0,6,1,22,22,2017-07-13 01:35:06,2017-07-13 01:35:06,1,1,1,0.9523809523809524,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,0,2,1,22,22,2017-07-13 01:42:42,2017-07-13 01:42:42,1,1,1,0.9302325581395348,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,0,9,1,22,22,2017-07-13 01:48:03,2017-07-13 01:48:03,1,1,1,0.9090909090909092,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,0,2,1,22,22,2017-07-19 01:38:33,2017-07-19 01:38:33,1,1,1,0.9111111111111112,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,0,2,1,16,16,2017-07-19 08:45:55,2017-07-19 08:45:55,2,0,0,0.9130434782608696,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,0,1,1,22,22,2017-07-19 22:27:53,2017-07-19 22:27:53,4,1,1,0.9148936170212766,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0,581,3,22,22,2017-07-19 01:15:49,2017-07-21 01:19:27,1,1,1,0.9166666666666666,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.06055555555555
8,0,0,11,1,22,22,2017-07-21 01:20:28,2017-07-21 01:20:28,1,1,1,0.9183673469387756,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,0,5,2,22,22,2017-07-23 12:46:58,2017-07-23 12:46:58,3,1,1,0.9,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,0,2,1,22,22,2017-07-23 12:52:13,2017-07-23 12:52:13,3,1,1,0.8823529411764706,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0,9,1,22,22,2017-07-26 01:12:36,2017-07-26 01:12:36,1,1,1,0.8846153846153846,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,0,23,1,6,6,2017-07-30 21:43:54,2017-07-30 21:43:54,4,0,0,0.8867924528301887,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,0,2,1,6,6,2017-07-30 21:50:12,2017-07-30 21:50:12,4,0,0,0.8703703703703703,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,0,2,1,6,6,2017-07-30 22:47:06,2017-07-30 22:47:06,4,0,0,0.8545454545454545,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,0,2,1,6,6,2017-07-30 22:50:27,2017-07-30 22:50:27,4,0,0,0.8571428571428572,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,0,4,1,8,8,2017-08-02 23:46:18,2017-08-02 23:46:18,4,0,0,0.8421052631578947,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,0,6,2,22,22,2017-08-03 10:37:25,2017-08-03 10:37:25,2,1,1,0.8448275862068966,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0,0,5,1,22,22,2017-08-03 10:37:41,2017-08-03 10:37:41,2,1,1,0.847457627118644,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,0,2,1,8,8,2017-08-06 22:48:47,2017-08-06 22:48:47,4,0,0,0.8333333333333334,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,0,1,1,6,6,2017-08-10 10:38:21,2017-08-10 10:38:21,2,0,0,0.8360655737704918,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,0,1,1,6,6,2017-08-10 10:55:33,2017-08-10 10:55:33,2,0,0,0.8387096774193549,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,0,2,1,22,22,2017-08-17 02:07:18,2017-08-17 02:07:18,1,1,1,0.8253968253968254,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,0,2,1,0,0,2017-09-04 14:43:24,2017-09-04 14:43:24,3,0,0,0.8125,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0,12,1,0,0,2017-09-24 12:26:24,2017-09-24 12:26:24,3,0,0,0.8153846153846154,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,0,4,1,6,6,2017-10-06 15:34:44,2017-10-06 15:34:44,3,0,0,0.8181818181818181,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,0,2,1,6,6,2017-10-06 15:40:04,2017-10-06 15:40:04,3,0,0,0.8059701492537313,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0,0,5,1,3,3,2017-11-28 17:14:56,2017-11-28 17:14:56,3,0,0,0.8088235294117647,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0,0,2,1,3,3,2017-11-28 17:52:31,2017-11-28 17:52:31,3,0,0,0.8115942028985508,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0,8,1,19,11,2017-11-29 20:48:43,2017-11-29 20:48:43,4,0,0,0.8142857142857143,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0,47,1,0,0,2017-12-10 14:19:48,2017-12-10 14:19:48,3,0,0,0.8169014084507042,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,0,4,2,0,0,2017-12-10 14:39:58,2017-12-10 14:39:58,3,0,0,0.8194444444444444,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,0,2,1,17,11,2018-01-02 12:53:57,2018-01-02 12:53:57,3,0,1,0.8082191780821918,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,0,1,1,2,2,2018-01-27 14:41:26,2018-01-27 14:41:26,3,0,0,0.8108108108108107,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,0,4,1,2,2,2018-03-09 03:20:34,2018-03-09 03:20:34,1,0,0,0.8133333333333334,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,0,10,1,2,2,2018-03-09 10:39:02,2018-03-09 10:39:02,2,0,0,0.8026315789473684,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0,8,1,21,21,2018-06-04 14:22:37,2018-06-04 14:22:37,3,0,0,0.8051948051948052,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0,0,9,1,21,21,2018-06-04 14:28:44,2018-06-04 14:28:44,3,0,0,0.8076923076923077,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0,0,2,1,21,21,2018-06-05 12:17:56,2018-06-05 12:17:56,3,0,0,0.810126582278481,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,0,2,1,21,21,2018-06-05 12:19:42,2018-06-05 12:19:42,3,0,0,0.8125,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,0,2,1,14,14,2018-07-29 21:47:32,2018-07-29 21:47:32,4,0,0,0.8024691358024691,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,0,2,1,4,13,2018-08-15 19:19:24,2018-08-15 19:27:40,4,0,0,0.7926829268292683,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1377777777777777
2,1,0,23,1,6,6,2018-08-20 16:16:55,2018-08-20 16:16:55,3,1,1,0.7831325301204819,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,0,6,1,6,6,2018-08-20 16:24:12,2018-08-20 16:24:12,3,1,1,0.7738095238095238,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,0,2,1,6,6,2018-08-20 16:28:46,2018-08-20 16:28:46,3,1,1,0.7647058823529411,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0,37,1,6,6,2018-08-20 16:45:49,2018-08-20 16:45:49,3,1,1,0.7674418604651163,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,0,22,1,6,6,2018-08-20 17:10:10,2018-08-20 17:10:10,3,1,1,0.7701149425287357,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0,0,8,1,3,3,2018-09-06 17:51:04,2018-09-08 23:36:24,4,1,1,0.7727272727272727,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.75555555555555
2,1,0,4,1,5,5,2018-09-13 21:23:46,2018-09-13 21:23:46,4,0,0,0.7640449438202247,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,0,8,1,24,11,2018-09-14 07:31:53,2018-09-14 07:31:53,2,0,1,0.7555555555555555,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,0,2,1,5,5,2018-09-14 23:26:07,2018-09-14 23:26:07,4,0,0,0.7582417582417582,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0,6,1,5,5,2018-09-15 00:16:02,2018-09-15 00:16:02,1,0,0,0.7608695652173914,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,0,8,2,5,5,2018-09-16 05:03:05,2018-09-16 05:03:05,1,0,0,0.7634408602150538,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,0,3,1,5,5,2018-09-16 06:00:20,2018-09-16 06:00:20,2,0,0,0.7659574468085106,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,0,10,3,5,5,2018-09-16 06:01:20,2018-09-16 06:01:20,2,0,0,0.7578947368421053,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,0,4,1,12,12,2018-10-09 05:34:54,2018-10-09 05:34:54,1,0,0,0.75,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0,1,18,1,18,18,2018-10-17 16:30:25,2018-10-17 16:30:25,3,0,0,0.7525773195876289,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0,80,1,18,18,2018-10-18 13:48:07,2018-10-18 13:48:07,3,0,0,0.7551020408163265,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0,0,8,1,18,18,2018-10-18 13:57:57,2018-10-18 13:57:57,3,0,0,0.7575757575757576,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0,0,2,1,21,11,2019-03-04 14:08:12,2019-03-04 14:08:12,3,1,2,0.76,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0,8,1,6,6,2019-03-07 09:10:49,2019-03-07 09:10:49,2,2,2,0.7623762376237624,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0,12,1,9,11,2019-03-18 22:11:14,2019-03-18 22:11:14,4,0,2,0.7647058823529411,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0,124,2,9,11,2019-03-18 22:13:39,2019-03-18 22:13:39,4,0,2,0.7669902912621359,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,0,1,1,1,11,2019-03-18 22:18:51,2019-03-18 22:18:51,4,0,2,0.7692307692307692,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0,0,22,1,9,11,2019-03-19 00:30:17,2019-03-19 00:30:17,1,0,2,0.7619047619047619,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,0,5,1,9,11,2019-03-19 00:41:44,2019-03-19 00:41:44,1,0,2,0.7641509433962264,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,0,10,1,9,11,2019-03-19 00:48:46,2019-03-19 00:48:46,1,0,2,0.7570093457943925,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,0,379,1,9,11,2019-03-19 18:54:22,2019-03-19 18:54:22,4,0,2,0.7592592592592593,2.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,0,15,1,7,7,2019-03-21 10:32:44,2019-03-21 10:32:44,2,0,0,0.7522935779816513,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0,32,1,7,7,2019-03-21 11:09:18,2019-03-21 11:09:18,2,0,0,0.7545454545454545,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0,38,1,7,7,2019-03-21 11:35:15,2019-03-21 11:35:15,2,0,0,0.7567567567567568,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,0,6,1,21,11,2019-03-21 14:06:35,2019-03-21 14:06:35,3,1,2,0.7589285714285714,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
